room_id,building,floor,room_capacity
A2-0101,A2,1,120
A2-0102,A2,1,87
A2-0103,A2,1,81
A2-0104,A2,1,97
A2-0105,A2,1,95
A2-0106,A2,1,94
A2-0107,A2,1,88
A2-0108,A2,1,86
A2-0109,A2,1,114
A2-0110,A2,1,85
A2-0111,A2,1,117
A2-0112,A2,1,107
A2-0113,A2,1,82
A2-0114,A2,1,81
A2-0201,A2,2,85
A2-0202,A2,2,93
A2-0203,A2,2,94
A2-0204,A2,2,112
A2-0205,A2,2,118
A2-0206,A2,2,81
A2-0207,A2,2,115
A2-0208,A2,2,92
A2-0209,A2,2,114
A2-0210,A2,2,106
A2-0211,A2,2,94
A2-0212,A2,2,108
A2-0213,A2,2,117
A2-0214,A2,2,97
A2-0301,A2,3,80
A2-0302,A2,3,90
A2-0303,A2,3,107
A2-0304,A2,3,101
A2-0305,A2,3,97
A2-0306,A2,3,89
A2-0307,A2,3,93
A2-0308,A2,3,101
A2-0309,A2,3,86
A2-0310,A2,3,85
A2-0311,A2,3,104
A2-0312,A2,3,86
A2-0313,A2,3,102
A2-0314,A2,3,102
A2-0401,A2,4,118
A2-0402,A2,4,96
A2-0403,A2,4,82
A2-0404,A2,4,109
A2-0405,A2,4,114
A2-0406,A2,4,87
A2-0407,A2,4,104
A2-0408,A2,4,85
A2-0409,A2,4,115
A2-0410,A2,4,98
A2-0411,A2,4,120
A2-0412,A2,4,119
A2-0413,A2,4,103
A2-0414,A2,4,116
A2-0501,A2,5,92
A2-0502,A2,5,84
A2-0503,A2,5,82
A2-0504,A2,5,94
A2-0505,A2,5,98
A2-0506,A2,5,85
A2-0507,A2,5,94
A2-0508,A2,5,86
A2-0509,A2,5,104
A2-0510,A2,5,97
A2-0511,A2,5,109
A2-0512,A2,5,120
A2-0513,A2,5,103
A2-0514,A2,5,90
A2-0601,A2,6,103
A2-0602,A2,6,102
A2-0603,A2,6,93
A2-0604,A2,6,97
A2-0605,A2,6,84
A2-0606,A2,6,118
A2-0607,A2,6,120
A2-0608,A2,6,90
A2-0609,A2,6,114
A2-0610,A2,6,95
A2-0611,A2,6,90
A2-0612,A2,6,109
A2-0613,A2,6,104
A2-0614,A2,6,97
A2-0701,A2,7,120
A2-0702,A2,7,115
A2-0703,A2,7,94
A2-0704,A2,7,100
A2-0705,A2,7,83
A2-0706,A2,7,94
A2-0707,A2,7,82
A2-0708,A2,7,100
A2-0709,A2,7,105
A2-0710,A2,7,97
A2-0711,A2,7,84
A2-0712,A2,7,93
A2-0713,A2,7,116
A2-0714,A2,7,100
A2-0801,A2,8,93
A2-0802,A2,8,111
A2-0803,A2,8,105
A2-0804,A2,8,109
A2-0805,A2,8,89
A2-0806,A2,8,96
A2-0807,A2,8,88
A2-0808,A2,8,95
A2-0809,A2,8,115
A2-0810,A2,8,114
A2-0811,A2,8,96
A2-0812,A2,8,117
A2-0813,A2,8,107
A2-0814,A2,8,117
A2-0901,A2,9,105
