file,column,data_type,description,example_value
classes.csv,class_id,string (PK),Ma dinh danh duy nhat cua lop hoc phan.,LHP0001
classes.csv,course_code,string,Ma hoc phan (du lieu minh hoa).,NGH101
classes.csv,course_name,string,Ten hoc phan.,Nghien cuu thi truong
classes.csv,department,string,Khoa/Vien phu trach hoc phan.,Marketing
classes.csv,num_students,int,Si so lop hoc phan (30-80 SV).,47
classes.csv,motorbike_ratio,float [0-1],Ty le SV trong lop di xe may den truong.,0.88
classes.csv,dorm_ratio,float [0-1],Ty le SV trong lop dang o ky tuc xa (KTX).,0.09
classes.csv,sessions_per_week,int (1 hoac 2),So buoi hoc/tuan cua lop (tuong ung so dong cua lop do trong schedule.csv).,1
rooms.csv,room_id,string (PK),"Ma phong hoc, dinh dang <Toa>-<Tang 2 chu so><So thu tu phong trong tang 2 chu so>.",D-0508
rooms.csv,building,string (A2/B/C/D),Toa nha chua phong (luon khop voi tien to cua room_id).,D
rooms.csv,floor,int,Tang cua phong trong toa nha.,5
rooms.csv,room_capacity,int,Suc chua toi da cua phong (so SV).,76
schedule.csv,schedule_id,string (PK),Ma dinh danh duy nhat cua 1 dong lich (= 1 buoi hoc cu the).,SCH00001
schedule.csv,class_id,string (FK -> classes.csv),Lop hoc phan duoc xep vao buoi hoc nay.,LHP0001
schedule.csv,day_of_week,string (Mon..Sat),Thu trong tuan (ma tieng Anh viet tat).,Mon
schedule.csv,day_vn,string,"Thu trong tuan (tieng Viet, tien loi hien thi).",Thu 2
schedule.csv,shift,string (Ca1..Ca4),Ca hoc.,Ca3
schedule.csv,start_time,string HH:MM,Gio bat dau ca hoc.,13:00
schedule.csv,end_time,string HH:MM,Gio ket thuc ca hoc.,15:40
schedule.csv,building,string (FK -> rooms.csv.building),Toa nha noi dien ra buoi hoc - LUON khop voi tien to cua room_id (da kiem tra 100%).,D
schedule.csv,floor,int (FK -> rooms.csv.floor),"Tang cua phong hoc - sao chep tu rooms.csv de tien tra cuu, luon khop voi room_id.",5
schedule.csv,room_id,string (FK -> rooms.csv.room_id),Phong hoc cu the duoc xep.,D-0508
schedule.csv,room_capacity,int (FK -> rooms.csv.room_capacity),"Suc chua phong - sao chep tu rooms.csv, luon >= num_students.",76
schedule.csv,num_students,int,"Si so lop (sao chep tu classes.csv de tien tra cuu, khong phai suy dien).",47
schedule.csv,motorbike_ratio,float [0-1],Sao chep tu classes.csv.,0.88
schedule.csv,dorm_ratio,float [0-1],Sao chep tu classes.csv.,0.09
schedule.csv,arrival_window_start,string HH:MM,Bat dau khung 30 phut SV co the den truong truoc ca hoc (= start_time - 30p).,12:30
schedule.csv,arrival_window_end,string HH:MM,Ket thuc khung den (= start_time).,13:00
schedule.csv,departure_window_start,string HH:MM,Bat dau khung SV roi truong sau khi tan ca (= end_time).,15:40
schedule.csv,departure_window_end,string HH:MM,Ket thuc khung roi truong (= end_time + 30p).,16:10
events.csv,event_id,string (PK),Ma dinh danh duy nhat cua su kien phat sinh.,EVT001
events.csv,event_name,string,Ten/mo ta su kien.,Thi giua ky - Quan tri hoc
events.csv,day_of_week,string (Mon..Sat),Thu dien ra su kien.,Mon
events.csv,day_vn,string,Thu dien ra su kien (tieng Viet).,Thu 2
events.csv,shift,string (Ca1..Ca4),Ca dien ra su kien.,Ca2
events.csv,building,string (A2/B/C/D),Toa nha dien ra su kien.,D
events.csv,num_students,int,So luong SV tham gia su kien.,73
events.csv,motorbike_ratio,float [0-1],Ty le SV tham gia su kien di xe may den truong.,0.91
parking.csv,scenario,string (Normal/Worst),"Muc dieu kien van hanh cua HA TANG nha xe (khong gan voi ngay cu the nao trong schedule.csv). Chi con 2 muc: Normal (van hanh chuan) va Worst (co su co + thoi tiet xau); muc 'Peak' da bo vi do la ket qua PHAN TICH nhu cau, thuoc ve Simulation Engineer, khong phai thuoc tinh co dinh cua ha tang.",Worst
parking.csv,parking_lot_id,string (PK cung scenario),Ma nha xe.,P1
parking.csv,name,string,Ten nha xe.,Nha xe khu giang duong A2-B
parking.csv,capacity_slots,int,Suc chua toi da (so xe may) cua nha xe.,3000
parking.csv,checkin_gates_open,int,So cong check-in (vao) dang mo trong dieu kien nay.,2
parking.csv,checkout_gates_open,int,So cong check-out (ra) dang mo trong dieu kien nay.,1
parking.csv,checkin_sec_per_vehicle,float (giay),Thoi gian xu ly trung binh 1 xe tai cong vao (quet ve).,4
parking.csv,checkout_sec_per_vehicle,float (giay),Thoi gian xu ly trung binh 1 xe tai cong ra (thu tien mat).,13
parking.csv,max_checkin_throughput_veh_per_30min,int (tinh san),Nang luc thong qua toi da cong vao trong 30 phut = checkin_gates_open x 1800 / checkin_sec_per_vehicle.,900
parking.csv,max_checkout_throughput_veh_per_30min,int (tinh san),Nang luc thong qua toi da cong ra trong 30 phut = checkout_gates_open x 1800 / checkout_sec_per_vehicle.,138
parking.csv,dist_from_A2_m,int (met),Khoang cach di bo uoc luong tu toa A2 den nha xe nay.,150
parking.csv,dist_from_B_m,int (met),Khoang cach di bo uoc luong tu toa B den nha xe nay.,100
parking.csv,dist_from_C_m,int (met),Khoang cach di bo uoc luong tu toa C den nha xe nay.,650
parking.csv,dist_from_D_m,int (met),Khoang cach di bo uoc luong tu toa D den nha xe nay.,700
parking.csv,notes,string,Dien giai boi canh/dieu kien van hanh.,Rieng P1: 1/2 cong check-out dang bao tri.
