student_id,class_id
SV02755,LHP0001
SV02756,LHP0001
SV02757,LHP0001
SV02758,LHP0001
SV02759,LHP0001
SV02760,LHP0001
SV02761,LHP0001
SV02762,LHP0001
SV02763,LHP0001
SV02764,LHP0001
SV02765,LHP0001
SV02766,LHP0001
SV02767,LHP0001
SV02768,LHP0001
SV02769,LHP0001
SV02770,LHP0001
SV02771,LHP0001
SV02772,LHP0001
SV02773,LHP0001
SV02774,LHP0001
SV02775,LHP0001
SV02776,LHP0001
SV02777,LHP0001
SV02778,LHP0001
SV02779,LHP0001
SV02780,LHP0001
SV02781,LHP0001
SV02782,LHP0001
SV02783,LHP0001
SV02784,LHP0001
SV02785,LHP0001
SV02786,LHP0001
SV02787,LHP0001
SV02788,LHP0001
SV02789,LHP0001
SV02790,LHP0001
SV02791,LHP0001
SV02792,LHP0001
SV02793,LHP0001
SV02794,LHP0001
SV02795,LHP0001
SV02796,LHP0001
SV02797,LHP0001
SV02798,LHP0001
SV02799,LHP0001
SV02800,LHP0001
SV02801,LHP0001
SV02980,LHP0002
SV02981,LHP0002
SV02982,LHP0002
SV02983,LHP0002
SV02984,LHP0002
SV02985,LHP0002
SV02986,LHP0002
SV02987,LHP0002
SV02988,LHP0002
SV02989,LHP0002
SV02990,LHP0002
SV02991,LHP0002
SV02992,LHP0002
SV02993,LHP0002
SV02994,LHP0002
SV02995,LHP0002
SV02996,LHP0002
SV02997,LHP0002
SV02998,LHP0002
SV02999,LHP0002
SV03000,LHP0002
SV03001,LHP0002
SV03002,LHP0002
SV03003,LHP0002
SV03004,LHP0002
SV03005,LHP0002
SV03006,LHP0002
SV03007,LHP0002
SV03008,LHP0002
SV03009,LHP0002
SV03010,LHP0002
SV03011,LHP0002
SV03012,LHP0002
SV03013,LHP0002
SV03014,LHP0002
SV03015,LHP0002
SV03016,LHP0002
SV03017,LHP0002
SV03018,LHP0002
SV03019,LHP0002
SV03020,LHP0002
SV03021,LHP0002
SV03022,LHP0002
SV03023,LHP0002
SV03024,LHP0002
SV03025,LHP0002
SV03026,LHP0002
SV03027,LHP0002
SV03028,LHP0002
SV03029,LHP0002
SV03030,LHP0002
SV03031,LHP0002
SV03032,LHP0002
SV03033,LHP0002
SV03034,LHP0002
SV03035,LHP0002
SV03036,LHP0002
SV03037,LHP0002
SV03038,LHP0002
SV03039,LHP0002
SV03040,LHP0002
SV03041,LHP0002
SV03042,LHP0002
SV03043,LHP0002
SV03044,LHP0002
SV03045,LHP0002
SV00114,LHP0003
SV00141,LHP0003
SV00172,LHP0003
SV00199,LHP0003
SV00202,LHP0003
SV00204,LHP0003
SV00210,LHP0003
SV00214,LHP0003
SV00223,LHP0003
SV00229,LHP0003
SV00246,LHP0003
SV00281,LHP0003
SV00312,LHP0003
SV00327,LHP0003
SV00351,LHP0003
SV00362,LHP0003
SV00366,LHP0003
SV00368,LHP0003
SV00369,LHP0003
SV00370,LHP0003
SV00381,LHP0003
SV00385,LHP0003
SV00386,LHP0003
SV00389,LHP0003
SV00390,LHP0003
SV00393,LHP0003
SV00401,LHP0003
SV00404,LHP0003
SV00405,LHP0003
SV00406,LHP0003
SV00414,LHP0003
SV00416,LHP0003
SV00417,LHP0003
SV00418,LHP0003
SV00422,LHP0003
SV00423,LHP0003
SV03871,LHP0004
SV03872,LHP0004
SV03892,LHP0004
SV03919,LHP0004
SV03921,LHP0004
SV03924,LHP0004
SV03930,LHP0004
SV03932,LHP0004
SV03941,LHP0004
SV03944,LHP0004
SV03990,LHP0004
SV04008,LHP0004
SV04013,LHP0004
SV04017,LHP0004
SV04025,LHP0004
SV04030,LHP0004
SV04038,LHP0004
SV04039,LHP0004
SV04048,LHP0004
SV04051,LHP0004
SV04061,LHP0004
SV04065,LHP0004
SV04068,LHP0004
SV04069,LHP0004
SV04071,LHP0004
SV04073,LHP0004
SV04077,LHP0004
SV04081,LHP0004
SV04084,LHP0004
SV04093,LHP0004
SV04095,LHP0004
SV04098,LHP0004
SV04110,LHP0004
SV04112,LHP0004
SV04115,LHP0004
SV04116,LHP0004
SV04120,LHP0004
SV04125,LHP0004
SV04128,LHP0004
SV04130,LHP0004
SV04135,LHP0004
SV04137,LHP0004
SV04139,LHP0004
SV04140,LHP0004
SV04143,LHP0004
SV04144,LHP0004
SV04146,LHP0004
SV04155,LHP0004
SV04156,LHP0004
SV04157,LHP0004
SV04159,LHP0004
SV04160,LHP0004
SV04163,LHP0004
SV04167,LHP0004
SV04170,LHP0004
SV04171,LHP0004
SV04172,LHP0004
SV04173,LHP0004
SV04174,LHP0004
SV04175,LHP0004
SV04176,LHP0004
SV04177,LHP0004
SV04180,LHP0004
SV04182,LHP0004
SV04183,LHP0004
SV04186,LHP0004
SV04188,LHP0004
SV04189,LHP0004
SV04198,LHP0004
SV04199,LHP0004
SV04201,LHP0004
SV04204,LHP0004
SV04205,LHP0004
SV04209,LHP0004
SV04210,LHP0004
SV04211,LHP0004
SV02554,LHP0005
SV02557,LHP0005
SV02560,LHP0005
SV02562,LHP0005
SV02564,LHP0005
SV02566,LHP0005
SV02570,LHP0005
SV02571,LHP0005
SV02572,LHP0005
SV02580,LHP0005
SV02590,LHP0005
SV02591,LHP0005
SV02592,LHP0005
SV02594,LHP0005
SV02595,LHP0005
SV02596,LHP0005
SV02598,LHP0005
SV02599,LHP0005
SV02600,LHP0005
SV02604,LHP0005
