event_id,event_name,day_of_week,day_vn,shift,building,num_students,motorbike_ratio
EVT001,Thi giua ky - Quan tri hoc,Mon,Thu 2,Ca2,D,73,0.91
EVT002,Thi giua ky - Quan tri hoc,Mon,Thu 2,Ca2,D,72,0.85
EVT003,Thi giua ky - Kinh te vi mo,Mon,Thu 2,Ca2,D,74,0.94
EVT004,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,66,0.85
EVT005,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,80,0.8
EVT006,Thi giua ky - Quan tri hoc,Mon,Thu 2,Ca2,D,62,0.86
EVT007,Thi giua ky - Nguyen ly ke toan,Mon,Thu 2,Ca2,D,72,0.84
EVT008,Thi giua ky - Kinh te vi mo,Mon,Thu 2,Ca2,D,72,0.9
EVT009,Thi giua ky - Quan tri hoc,Mon,Thu 2,Ca2,D,73,0.93
EVT010,Thi giua ky - Marketing can ban,Mon,Thu 2,Ca2,D,75,0.87
EVT011,Thi giua ky - Marketing can ban,Mon,Thu 2,Ca2,D,63,0.92
EVT012,Thi giua ky - Nguyen ly ke toan,Mon,Thu 2,Ca2,D,68,0.81
EVT013,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,64,0.84
EVT014,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,77,0.94
EVT015,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,78,0.81
EVT016,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,66,0.85
EVT017,Thi giua ky - Kinh te vi mo,Mon,Thu 2,Ca2,D,78,0.8
EVT018,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,66,0.94
EVT019,Thi giua ky - Marketing can ban,Mon,Thu 2,Ca2,D,62,0.93
EVT020,Thi giua ky - Toan cao cap 1,Mon,Thu 2,Ca2,D,61,0.94
EVT021,Thi giua ky - Phap luat dai cuong,Mon,Thu 2,Ca2,D,66,0.89
EVT022,Thi giua ky - Quan tri hoc,Mon,Thu 2,Ca2,D,68,0.9
EVT023,Thi giua ky - Phap luat dai cuong,Mon,Thu 2,Ca2,D,71,0.81
EVT024,Thi giua ky - Nguyen ly ke toan,Mon,Thu 2,Ca2,D,64,0.94
