schedule_id,class_id,day_of_week,day_vn,shift,start_time,end_time,building,floor,room_id,room_capacity,num_students,motorbike_ratio,dorm_ratio,arrival_window_start,arrival_window_end,departure_window_start,departure_window_end
SCH00001,LHP0001,Mon,Thu 2,Ca3,13:00,15:40,D,5,D-0508,76,47,0.88,0.09,12:30,13:00,15:40,16:10
SCH00002,LHP0002,Mon,Thu 2,Ca1,06:45,09:25,D,1,D-0101,89,66,0.84,0.21,06:15,06:45,09:25,09:55
SCH00003,LHP0002,Wed,Thu 4,Ca3,13:00,15:40,D,4,D-0403,67,66,0.84,0.21,12:30,13:00,15:40,16:10
SCH00004,LHP0003,Wed,Thu 4,Ca3,13:00,15:40,C,2,C-0203,42,36,0.77,0.14,12:30,13:00,15:40,16:10
SCH00005,LHP0004,Wed,Thu 4,Ca2,09:35,12:15,A2,4,A2-0406,87,76,0.76,0.18,09:05,09:35,12:15,12:45
SCH00006,LHP0004,Thu,Thu 5,Ca2,09:35,12:15,D,5,D-0508,76,76,0.76,0.18,09:05,09:35,12:15,12:45
SCH00007,LHP0005,Wed,Thu 4,Ca1,06:45,09:25,D,5,D-0503,88,55,0.9,0.21,06:15,06:45,09:25,09:55
SCH00008,LHP0006,Mon,Thu 2,Ca3,13:00,15:40,A2,1,A2-0101,120,42,0.86,0.08,12:30,13:00,15:40,16:10
SCH00009,LHP0007,Mon,Thu 2,Ca1,06:45,09:25,A2,9,A2-0904,88,45,0.92,0.07,06:15,06:45,09:25,09:55
SCH00010,LHP0007,Tue,Thu 3,Ca3,13:00,15:40,B,3,B-0304,57,45,0.92,0.07,12:30,13:00,15:40,16:10
SCH00011,LHP0008,Mon,Thu 2,Ca3,13:00,15:40,C,2,C-0201,58,36,0.76,0.25,12:30,13:00,15:40,16:10
SCH00012,LHP0008,Sat,Thu 7,Ca4,15:50,18:30,A2,6,A2-0602,102,36,0.76,0.25,15:20,15:50,18:30,19:00
SCH00013,LHP0009,Sat,Thu 7,Ca1,06:45,09:25,A2,8,A2-0811,96,78,0.92,0.08,06:15,06:45,09:25,09:55
SCH00014,LHP0010,Wed,Thu 4,Ca1,06:45,09:25,C,2,C-0204,55,55,0.93,0.08,06:15,06:45,09:25,09:55
SCH00015,LHP0011,Sat,Thu 7,Ca1,06:45,09:25,A2,2,A2-0203,94,46,0.94,0.21,06:15,06:45,09:25,09:55
SCH00016,LHP0012,Sat,Thu 7,Ca4,15:50,18:30,A2,5,A2-0509,104,72,0.89,0.08,15:20,15:50,18:30,19:00
SCH00017,LHP0013,Fri,Thu 6,Ca2,09:35,12:15,A2,6,A2-0609,114,67,0.9,0.06,09:05,09:35,12:15,12:45
SCH00018,LHP0014,Wed,Thu 4,Ca3,13:00,15:40,A2,10,A2-1013,101,67,0.85,0.23,12:30,13:00,15:40,16:10
SCH00019,LHP0015,Thu,Thu 5,Ca2,09:35,12:15,A2,3,A2-0312,86,62,0.77,0.09,09:05,09:35,12:15,12:45
SCH00020,LHP0016,Fri,Thu 6,Ca3,13:00,15:40,A2,8,A2-0805,89,55,0.77,0.23,12:30,13:00,15:40,16:10
SCH00021,LHP0017,Fri,Thu 6,Ca2,09:35,12:15,B,2,B-0208,46,32,0.87,0.13,09:05,09:35,12:15,12:45
SCH00022,LHP0018,Mon,Thu 2,Ca4,15:50,18:30,B,2,B-0207,59,50,0.94,0.09,15:20,15:50,18:30,19:00
SCH00023,LHP0018,Tue,Thu 3,Ca1,06:45,09:25,A2,2,A2-0203,94,50,0.94,0.09,06:15,06:45,09:25,09:55
SCH00024,LHP0019,Mon,Thu 2,Ca1,06:45,09:25,C,3,C-0308,46,46,0.83,0.18,06:15,06:45,09:25,09:55
SCH00025,LHP0020,Sat,Thu 7,Ca1,06:45,09:25,A2,6,A2-0612,109,78,0.94,0.05,06:15,06:45,09:25,09:55
SCH00026,LHP0020,Mon,Thu 2,Ca2,09:35,12:15,A2,6,A2-0602,102,78,0.94,0.05,09:05,09:35,12:15,12:45
SCH00027,LHP0021,Wed,Thu 4,Ca1,06:45,09:25,A2,5,A2-0512,120,36,0.76,0.09,06:15,06:45,09:25,09:55
