student_id,distance_group,uses_motorbike
SV00001,medium,1
SV00002,near,1
SV00003,near,1
SV00004,medium,1
SV00005,medium,1
SV00006,near,0
SV00007,medium,1
SV00008,medium,1
SV00009,near,0
SV00010,far,1
SV00011,medium,1
SV00012,far,1
SV00013,medium,0
SV00014,far,0
SV00015,far,1
SV00016,far,1
SV00017,near,0
SV00018,medium,1
SV00019,near,0
SV00020,near,0
SV00021,near,0
SV00022,near,0
SV00023,medium,1
SV00024,near,1
SV00025,near,0
SV00026,near,0
SV00027,medium,1
SV00028,far,1
SV00029,near,1
SV00030,near,0
SV00031,medium,0
SV00032,medium,1
SV00033,medium,1
SV00034,medium,1
SV00035,medium,1
SV00036,medium,1
SV00037,medium,0
SV00038,medium,1
SV00039,near,1
SV00040,medium,1
SV00041,medium,1
SV00042,far,0
SV00043,medium,1
SV00044,near,0
SV00045,medium,1
SV00046,near,1
SV00047,medium,1
SV00048,medium,1
SV00049,medium,1
SV00050,near,0
SV00051,far,1
SV00052,far,1
SV00053,medium,1
SV00054,medium,1
SV00055,far,1
SV00056,far,1
SV00057,far,1
SV00058,medium,1
SV00059,medium,1
SV00060,medium,1
SV00061,near,0
SV00062,far,1
SV00063,near,1
SV00064,far,1
SV00065,near,1
SV00066,medium,1
SV00067,far,1
SV00068,medium,1
SV00069,far,1
SV00070,medium,1
SV00071,near,0
SV00072,far,1
SV00073,medium,1
SV00074,near,0
SV00075,near,1
SV00076,far,1
SV00077,near,1
SV00078,far,1
SV00079,medium,1
SV00080,medium,1
SV00081,near,0
SV00082,far,1
SV00083,near,0
SV00084,near,0
SV00085,medium,1
SV00086,near,1
SV00087,near,0
SV00088,far,1
SV00089,medium,1
SV00090,near,1
SV00091,far,1
SV00092,near,1
SV00093,medium,1
SV00094,near,0
SV00095,medium,1
SV00096,medium,1
SV00097,medium,1
SV00098,medium,1
SV00099,medium,1
SV00100,far,1
SV00101,near,1
SV00102,medium,0
SV00103,near,0
SV00104,near,0
SV00105,far,1
SV00106,far,1
SV00107,far,1
SV00108,near,0
SV00109,medium,0
SV00110,far,1
SV00111,near,0
SV00112,near,1
SV00113,medium,1
SV00114,medium,1
SV00115,far,1
SV00116,far,1
SV00117,far,1
SV00118,medium,1
SV00119,near,0
SV00120,near,0
SV00121,far,1
SV00122,medium,1
SV00123,far,1
SV00124,near,0
SV00125,far,1
SV00126,far,1
SV00127,medium,1
SV00128,near,0
SV00129,medium,1
SV00130,medium,1
SV00131,near,1
SV00132,medium,1
SV00133,near,1
SV00134,medium,1
SV00135,far,1
SV00136,near,0
SV00137,near,0
SV00138,medium,1
SV00139,far,1
SV00140,medium,1
SV00141,near,0
SV00142,near,0
SV00143,far,1
SV00144,far,1
SV00145,near,1
SV00146,medium,1
SV00147,medium,0
SV00148,near,1
SV00149,medium,1
SV00150,near,1
SV00151,near,1
SV00152,medium,0
SV00153,near,0
SV00154,near,0
SV00155,medium,1
SV00156,medium,1
SV00157,medium,1
SV00158,medium,1
SV00159,medium,1
SV00160,medium,1
SV00161,medium,1
SV00162,medium,1
SV00163,near,1
SV00164,far,1
SV00165,far,1
SV00166,far,1
SV00167,medium,1
SV00168,near,0
SV00169,near,0
SV00170,medium,1
SV00171,near,0
SV00172,medium,1
SV00173,near,0
SV00174,medium,1
SV00175,medium,0
SV00176,far,1
SV00177,near,1
SV00178,near,0
SV00179,far,1
SV00180,near,0
SV00181,medium,1
SV00182,medium,1
SV00183,medium,1
SV00184,near,0
SV00185,far,1
SV00186,far,1
SV00187,medium,1
SV00188,medium,1
SV00189,near,0
SV00190,near,0
SV00191,near,1
SV00192,near,1
SV00193,near,0
SV00194,far,1
SV00195,far,1
SV00196,medium,1
SV00197,medium,1
SV00198,near,1
SV00199,far,1
SV00200,near,1
SV00201,far,0
SV00202,medium,0
SV00203,far,1
SV00204,near,0
SV00205,near,0
SV00206,near,1
SV00207,near,0
SV00208,far,0
SV00209,medium,1
SV00210,medium,1
SV00211,near,1
SV00212,near,0
SV00213,far,1
SV00214,near,1
SV00215,near,0
SV00216,near,1
SV00217,near,1
SV00218,near,0
SV00219,far,1
SV00220,medium,1
SV00221,near,0
SV00222,near,1
SV00223,medium,1
SV00224,medium,1
SV00225,near,1
SV00226,far,1
SV00227,medium,1
SV00228,far,1
SV00229,near,0
SV00230,far,1
SV00231,medium,1
SV00232,near,1
SV00233,far,1
SV00234,medium,1
SV00235,near,0
SV00236,near,1
SV00237,medium,1
SV00238,near,0
SV00239,far,1
SV00240,far,1
SV00241,far,1
SV00242,medium,1
SV00243,far,1
SV00244,medium,1
SV00245,medium,1
SV00246,far,1
SV00247,far,1
SV00248,near,0
SV00249,near,0
SV00250,medium,1
SV00251,near,1
SV00252,far,1
SV00253,near,0
SV00254,medium,1
SV00255,near,0
SV00256,near,0
SV00257,medium,1
SV00258,far,1
SV00259,medium,1
SV00260,near,1
SV00261,medium,1
SV00262,medium,0
SV00263,medium,1
SV00264,medium,1
SV00265,medium,1
SV00266,near,0
SV00267,far,1
SV00268,far,1
SV00269,near,1
SV00270,near,1
SV00271,far,1
SV00272,far,1
SV00273,medium,0
SV00274,near,1
SV00275,medium,1
SV00276,near,0
SV00277,medium,0
SV00278,medium,1
SV00279,medium,1
SV00280,near,1
SV00281,medium,1
SV00282,near,0
SV00283,far,1
SV00284,medium,1
SV00285,medium,1
SV00286,medium,1
SV00287,far,1
SV00288,medium,1
SV00289,medium,1
SV00290,medium,1
SV00291,far,1
SV00292,far,1
SV00293,near,1
SV00294,medium,1
SV00295,near,0
SV00296,medium,1
SV00297,near,0
SV00298,far,1
SV00299,near,0
SV00300,medium,1
SV00301,far,1
SV00302,medium,1
SV00303,medium,1
SV00304,far,1
SV00305,medium,1
SV00306,medium,1
SV00307,far,1
SV00308,medium,1
SV00309,near,1
SV00310,medium,1
SV00311,far,1
SV00312,near,1
SV00313,near,1
SV00314,medium,1
SV00315,medium,1
SV00316,near,1
SV00317,near,1
SV00318,near,0
SV00319,near,0
SV00320,near,0
SV00321,near,0
SV00322,medium,1
SV00323,near,1
SV00324,medium,1
SV00325,near,1
SV00326,near,0
SV00327,medium,1
SV00328,medium,1
SV00329,near,1
SV00330,far,1
SV00331,near,1
SV00332,far,1
SV00333,medium,1
SV00334,near,0
SV00335,medium,0
SV00336,near,1
SV00337,near,1
SV00338,near,0
SV00339,near,0
SV00340,far,1
SV00341,far,1
SV00342,near,0
SV00343,medium,1
SV00344,medium,1
SV00345,medium,1
SV00346,medium,1
SV00347,medium,1
SV00348,medium,1
SV00349,near,1
SV00350,near,0
SV00351,far,1
SV00352,far,1
SV00353,medium,0
SV00354,far,1
SV00355,near,1
SV00356,far,1
SV00357,far,1
SV00358,medium,1
SV00359,medium,1
SV00360,medium,1
SV00361,far,1
SV00362,near,1
SV00363,medium,0
SV00364,medium,1
SV00365,medium,0
SV00366,medium,1
SV00367,medium,1
SV00368,near,1
SV00369,far,1
SV00370,medium,1
SV00371,near,0
SV00372,medium,1
SV00373,medium,1
SV00374,medium,0
SV00375,near,0
SV00376,near,1
SV00377,medium,1
SV00378,far,1
SV00379,far,1
SV00380,near,0
SV00381,near,0
SV00382,near,0
SV00383,near,0
SV00384,near,0
SV00385,medium,1
SV00386,near,0
SV00387,far,1
SV00388,medium,1
SV00389,medium,1
SV00390,medium,1
SV00391,far,1
SV00392,near,1
SV00393,medium,1
SV00394,medium,0
SV00395,near,1
SV00396,medium,1
SV00397,far,1
SV00398,medium,0
SV00399,near,0
SV00400,near,0
SV00401,near,1
SV00402,far,1
SV00403,near,1
SV00404,far,1
SV00405,medium,1
SV00406,far,1
SV00407,medium,0
SV00408,far,1
SV00409,near,0
SV00410,far,1
SV00411,medium,0
SV00412,medium,1
SV00413,near,0
SV00414,medium,1
SV00415,near,1
SV00416,near,0
SV00417,near,1
SV00418,medium,1
SV00419,near,1
SV00420,far,1
SV00421,near,0
SV00422,medium,1
SV00423,far,1
SV00424,far,1
SV00425,near,1
SV00426,medium,1
SV00427,medium,1
SV00428,medium,1
SV00429,near,0
SV00430,medium,1
SV00431,medium,1
SV00432,far,1
SV00433,medium,1
SV00434,far,1
SV00435,medium,1
SV00436,medium,1
SV00437,medium,0
SV00438,near,1
SV00439,medium,1
SV00440,medium,1
SV00441,medium,1
SV00442,far,1
SV00443,near,1
SV00444,near,0
SV00445,far,1
SV00446,medium,1
SV00447,far,1
SV00448,medium,1
SV00449,far,1
SV00450,medium,1
SV00451,near,1
SV00452,medium,1
SV00453,near,0
SV00454,medium,1
SV00455,near,1
SV00456,far,1
SV00457,near,1
SV00458,far,1
SV00459,near,0
SV00460,far,1
SV00461,far,1
SV00462,medium,1
SV00463,medium,1
SV00464,medium,1
SV00465,far,1
SV00466,far,1
SV00467,near,1
SV00468,near,0
SV00469,near,0
SV00470,medium,1
SV00471,far,1
SV00472,near,0
SV00473,near,1
SV00474,medium,1
SV00475,far,1
SV00476,near,1
SV00477,medium,1
SV00478,near,0
SV00479,near,1
SV00480,near,1
SV00481,far,1
SV00482,medium,1
SV00483,medium,1
SV00484,medium,1
SV00485,medium,1
SV00486,near,1
SV00487,medium,1
SV00488,near,1
SV00489,medium,1
SV00490,near,1
SV00491,far,1
SV00492,medium,1
SV00493,near,1
SV00494,near,1
SV00495,far,1
SV00496,near,1
SV00497,near,0
SV00498,near,0
SV00499,medium,1
SV00500,far,1
SV00501,medium,1
SV00502,medium,1
SV00503,medium,0
SV00504,far,1
SV00505,medium,1
SV00506,medium,1
SV00507,medium,1
SV00508,medium,1
SV00509,near,1
SV00510,far,1
SV00511,medium,0
SV00512,near,0
SV00513,medium,1
SV00514,medium,1
SV00515,far,1
SV00516,far,1
SV00517,medium,1
SV00518,near,0
SV00519,medium,0
SV00520,near,0
SV00521,near,0
SV00522,far,1
SV00523,medium,0
SV00524,near,0
SV00525,near,0
SV00526,far,1
SV00527,medium,1
SV00528,far,1
SV00529,medium,1
SV00530,near,1
SV00531,medium,0
SV00532,far,1
SV00533,medium,0
SV00534,far,1
SV00535,near,0
SV00536,far,1
SV00537,medium,1
SV00538,near,0
SV00539,near,0
SV00540,far,1
SV00541,near,1
SV00542,far,1
SV00543,medium,1
SV00544,medium,1
SV00545,near,0
SV00546,near,1
SV00547,far,1
SV00548,near,1
SV00549,near,1
SV00550,medium,1
SV00551,medium,1
SV00552,far,1
SV00553,medium,1
SV00554,far,1
SV00555,medium,0
SV00556,medium,1
SV00557,far,1
SV00558,far,1
SV00559,near,0
SV00560,far,1
SV00561,far,0
SV00562,near,1
SV00563,far,1
SV00564,medium,1
SV00565,far,1
SV00566,medium,1
SV00567,medium,1
SV00568,near,0
SV00569,medium,1
SV00570,medium,0
SV00571,near,1
SV00572,far,1
SV00573,near,1
SV00574,medium,1
SV00575,far,1
SV00576,medium,1
SV00577,near,1
SV00578,medium,1
SV00579,far,1
SV00580,near,1
SV00581,near,0
SV00582,medium,1
SV00583,medium,1
SV00584,near,0
SV00585,near,1
SV00586,near,1
SV00587,medium,1
SV00588,medium,0
SV00589,far,1
SV00590,far,1
SV00591,far,1
SV00592,near,0
SV00593,far,1
SV00594,far,1
SV00595,medium,1
SV00596,near,1
SV00597,near,1
SV00598,far,1
SV00599,far,1
SV00600,medium,1
SV00601,near,0
SV00602,near,1
SV00603,medium,1
SV00604,medium,1
SV00605,far,1
SV00606,medium,1
SV00607,far,1
SV00608,medium,1
SV00609,medium,1
SV00610,near,1
SV00611,far,1
SV00612,near,0
SV00613,near,1
SV00614,medium,1
SV00615,far,1
SV00616,near,1
SV00617,medium,0
SV00618,medium,1
SV00619,medium,1
SV00620,far,1
SV00621,near,0
SV00622,near,0
SV00623,near,1
SV00624,near,1
SV00625,far,1
SV00626,near,0
SV00627,medium,1
SV00628,near,1
SV00629,near,1
SV00630,near,0
SV00631,far,1
SV00632,medium,1
SV00633,medium,0
SV00634,far,1
SV00635,medium,0
SV00636,medium,1
SV00637,far,1
SV00638,medium,1
SV00639,medium,1
SV00640,near,0
SV00641,near,1
SV00642,medium,1
SV00643,medium,1
SV00644,medium,1
SV00645,medium,1
SV00646,medium,1
SV00647,near,0
SV00648,far,1
SV00649,near,1
SV00650,far,1
SV00651,far,1
SV00652,near,1
SV00653,medium,0
SV00654,far,1
SV00655,medium,1
SV00656,medium,1
SV00657,far,1
SV00658,near,1
SV00659,medium,1
SV00660,near,1
SV00661,near,0
SV00662,near,0
SV00663,medium,1
SV00664,near,0
SV00665,medium,1
SV00666,near,0
SV00667,near,0
SV00668,far,1
SV00669,medium,1
SV00670,near,1
SV00671,medium,0
SV00672,near,0
SV00673,far,1
SV00674,medium,0
SV00675,near,0
SV00676,near,1
SV00677,medium,0
SV00678,near,0
SV00679,near,1
SV00680,near,0
SV00681,far,1
SV00682,near,1
SV00683,far,1
SV00684,near,0
SV00685,medium,1
SV00686,far,1
SV00687,near,1
SV00688,medium,1
SV00689,near,0
SV00690,near,1
SV00691,medium,1
SV00692,far,1
SV00693,far,1
SV00694,medium,1
SV00695,near,0
SV00696,medium,1
SV00697,medium,0
SV00698,near,0
SV00699,far,1
SV00700,far,1
SV00701,far,1
SV00702,far,1
SV00703,far,1
SV00704,near,1
SV00705,medium,1
SV00706,medium,1
SV00707,medium,1
SV00708,medium,1
SV00709,near,0
SV00710,medium,1
SV00711,far,1
SV00712,medium,1
SV00713,far,0
SV00714,far,1
SV00715,near,1
SV00716,medium,0
SV00717,medium,1
SV00718,near,1
SV00719,far,1
SV00720,medium,1
SV00721,medium,1
SV00722,medium,0
SV00723,far,1
SV00724,medium,1
SV00725,medium,1
SV00726,medium,1
SV00727,far,1
SV00728,far,1
SV00729,near,1
SV00730,medium,1
SV00731,near,1
SV00732,near,0
SV00733,medium,1
SV00734,far,1
SV00735,far,1
SV00736,far,1
SV00737,near,0
SV00738,near,1
SV00739,far,1
SV00740,medium,1
SV00741,medium,1
SV00742,medium,1
SV00743,medium,1
SV00744,medium,0
SV00745,medium,1
SV00746,medium,1
SV00747,near,0
SV00748,medium,1
SV00749,near,1
SV00750,medium,1
SV00751,near,0
SV00752,medium,1
SV00753,near,1
SV00754,near,1
SV00755,far,1
SV00756,medium,1
SV00757,near,0
SV00758,medium,0
SV00759,far,1
SV00760,medium,1
SV00761,far,1
SV00762,far,1
SV00763,medium,1
SV00764,far,1
SV00765,near,0
SV00766,medium,1
SV00767,medium,1
SV00768,far,1
SV00769,near,0
SV00770,near,1
SV00771,medium,1
SV00772,near,1
SV00773,medium,1
SV00774,medium,1
SV00775,near,1
SV00776,near,0
SV00777,medium,1
SV00778,medium,1
SV00779,medium,1
SV00780,medium,1
SV00781,medium,0
SV00782,near,0
SV00783,far,1
SV00784,near,0
SV00785,medium,1
SV00786,far,1
SV00787,medium,1
SV00788,near,1
SV00789,medium,1
SV00790,near,1
SV00791,medium,1
SV00792,medium,1
SV00793,far,1
SV00794,medium,1
SV00795,far,1
SV00796,medium,1
SV00797,near,0
SV00798,medium,1
SV00799,far,1
SV00800,near,1
SV00801,medium,0
SV00802,medium,1
SV00803,far,1
SV00804,medium,1
SV00805,far,1
SV00806,near,1
SV00807,near,0
SV00808,far,1
SV00809,medium,1
SV00810,medium,1
SV00811,medium,1
SV00812,medium,1
SV00813,near,0
SV00814,near,1
SV00815,near,0
SV00816,near,0
SV00817,medium,1
SV00818,near,0
SV00819,near,1
SV00820,near,0
SV00821,far,1
SV00822,far,1
SV00823,near,0
SV00824,far,1
SV00825,far,1
SV00826,medium,1
SV00827,far,1
SV00828,near,1
SV00829,medium,1
SV00830,near,1
SV00831,far,1
SV00832,medium,0
SV00833,far,1
SV00834,far,1
SV00835,far,1
SV00836,near,1
SV00837,near,0
SV00838,near,1
SV00839,far,1
SV00840,near,1
SV00841,medium,1
SV00842,far,1
SV00843,near,1
SV00844,near,0
SV00845,far,1
SV00846,near,0
SV00847,medium,1
SV00848,far,1
SV00849,medium,1
SV00850,medium,1
SV00851,near,1
SV00852,medium,1
SV00853,near,1
SV00854,far,1
SV00855,medium,1
SV00856,medium,0
SV00857,medium,1
SV00858,near,0
SV00859,near,1
SV00860,medium,1
SV00861,medium,1
SV00862,medium,1
SV00863,medium,1
SV00864,medium,1
SV00865,near,0
SV00866,far,1
SV00867,medium,1
SV00868,far,1
SV00869,medium,1
SV00870,far,1
SV00871,far,1
SV00872,medium,1
SV00873,medium,1
SV00874,medium,1
SV00875,far,1
SV00876,far,1
SV00877,near,1
SV00878,medium,0
SV00879,near,0
SV00880,near,1
SV00881,near,0
SV00882,medium,1
SV00883,far,1
SV00884,near,0
SV00885,medium,0
SV00886,far,1
SV00887,far,1
SV00888,medium,1
SV00889,far,1
SV00890,near,0
SV00891,far,1
SV00892,near,1
SV00893,medium,0
SV00894,near,1
SV00895,far,1
SV00896,near,0
SV00897,near,1
SV00898,near,1
SV00899,far,1
SV00900,far,1
SV00901,medium,1
SV00902,medium,1
SV00903,medium,1
SV00904,near,0
SV00905,near,0
SV00906,medium,1
SV00907,medium,1
SV00908,near,1
SV00909,near,0
SV00910,near,1
SV00911,near,0
SV00912,far,1
SV00913,near,1
SV00914,far,1
SV00915,medium,1
SV00916,far,1
SV00917,near,1
SV00918,far,1
