class_id,course_code,course_name,department,group_no,num_students,motorbike_ratio,dorm_ratio,sessions_per_week
LHP0001,NGH101,Nghien cuu thi truong,Marketing,Nhom01,47,0.88,0.09,1
LHP0002,KIN101,Kinh doanh quoc te,Kinh doanh quoc te,Nhom01,66,0.84,0.21,2
LHP0003,QUA101,Quan tri nhan luc,Quan tri kinh doanh,Nhom01,36,0.77,0.14,1
LHP0004,TIE101,Tieng Anh 2,Ngoai ngu,Nhom01,76,0.76,0.18,2
LHP0005,KIN101,Kinh te vi mo,Kinh te hoc,Nhom01,55,0.9,0.21,1
LHP0006,QUA102,Quan tri nhan luc,Quan tri kinh doanh,Nhom02,42,0.86,0.08,1
LHP0007,TIE102,Tieng Anh 2,Ngoai ngu,Nhom02,45,0.92,0.07,2
LHP0008,THO101,Thong ke kinh doanh,Thong ke,Nhom01,36,0.76,0.25,2
LHP0009,KE101,Ke toan tai chinh,Ke toan,Nhom01,78,0.92,0.08,1
LHP0010,KHO101,Khoi nghiep kinh doanh,Quan tri kinh doanh,Nhom01,55,0.93,0.08,1
LHP0011,TOA101,Toan cao cap 2,Toan kinh te,Nhom01,46,0.94,0.21,1
LHP0012,THO102,Thong ke kinh doanh,Thong ke,Nhom02,72,0.89,0.08,1
LHP0013,KIN102,Kinh te vi mo,Kinh te hoc,Nhom02,67,0.9,0.06,1
LHP0014,KIN103,Kinh te vi mo,Kinh te hoc,Nhom03,67,0.85,0.23,1
LHP0015,KIN104,Kinh te vi mo,Kinh te hoc,Nhom04,62,0.77,0.09,1
LHP0016,NGH102,Nghien cuu thi truong,Marketing,Nhom02,55,0.77,0.23,1
LHP0017,BAO101,Bao hiem dai cuong,Bao hiem,Nhom01,32,0.87,0.13,1
LHP0018,CHU101,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom01,50,0.94,0.09,2
LHP0019,NGH103,Nghien cuu thi truong,Marketing,Nhom03,46,0.83,0.18,1
LHP0020,HE101,He thong thong tin quan ly,He thong thong tin quan ly,Nhom01,78,0.94,0.05,2
LHP0021,KIN102,Kinh doanh quoc te,Kinh doanh quoc te,Nhom02,36,0.76,0.09,1
LHP0022,LAP101,Lap trinh co ban,He thong thong tin quan ly,Nhom01,34,0.93,0.12,1
LHP0023,TU101,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom01,75,0.81,0.25,2
LHP0024,CHU102,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom02,30,0.88,0.16,2
LHP0025,KIE101,Kiem toan can ban,Ke toan,Nhom01,38,0.8,0.23,2
LHP0026,THI101,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom01,47,0.81,0.09,1
LHP0027,QUA101,Quan tri thuong hieu,Marketing,Nhom01,62,0.85,0.23,2
LHP0028,KE102,Ke toan tai chinh,Ke toan,Nhom02,70,0.83,0.11,1
LHP0029,TIE101,Tien te ngan hang,Tai chinh - Ngan hang,Nhom01,70,0.95,0.08,1
LHP0030,TOI101,Toi uu hoa,Toan kinh te,Nhom01,65,0.75,0.07,2
LHP0031,THI102,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom02,64,0.76,0.12,1
LHP0032,TOI102,Toi uu hoa,Toan kinh te,Nhom02,38,0.76,0.12,2
LHP0033,KIN105,Kinh te vi mo,Kinh te hoc,Nhom05,52,0.79,0.1,1
LHP0034,THO103,Thong ke kinh doanh,Thong ke,Nhom03,56,0.94,0.2,2
