scenario,shift,shift_start,shift_end,direction,turnover_rate,motorbike_modal_share,bucket_start,bucket_end,fraction_within_window,note
Normal,ca1,06:45,09:25,arrival,1.0,0.65,06:15,06:20,0.05,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca1,06:45,09:25,arrival,1.0,0.65,06:20,06:25,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca1,06:45,09:25,arrival,1.0,0.65,06:25,06:30,0.2,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca1,06:45,09:25,arrival,1.0,0.65,06:30,06:35,0.3,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca1,06:45,09:25,arrival,1.0,0.65,06:35,06:40,0.25,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca1,06:45,09:25,arrival,1.0,0.65,06:40,06:45,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca1,06:45,09:25,departure,0.3,0.65,09:25,09:30,0.35,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca1,06:45,09:25,departure,0.3,0.65,09:30,09:35,0.25,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca1,06:45,09:25,departure,0.3,0.65,09:35,09:40,0.15,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca1,06:45,09:25,departure,0.3,0.65,09:40,09:45,0.1,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca1,06:45,09:25,departure,0.3,0.65,09:45,09:50,0.08,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca1,06:45,09:25,departure,0.3,0.65,09:50,09:55,0.07,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca2,09:35,12:15,arrival,0.4,0.65,09:05,09:10,0.05,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca2,09:35,12:15,arrival,0.4,0.65,09:10,09:15,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca2,09:35,12:15,arrival,0.4,0.65,09:15,09:20,0.2,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca2,09:35,12:15,arrival,0.4,0.65,09:20,09:25,0.3,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca2,09:35,12:15,arrival,0.4,0.65,09:25,09:30,0.25,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca2,09:35,12:15,arrival,0.4,0.65,09:30,09:35,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca2,09:35,12:15,departure,0.85,0.65,12:15,12:20,0.35,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca2,09:35,12:15,departure,0.85,0.65,12:20,12:25,0.25,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca2,09:35,12:15,departure,0.85,0.65,12:25,12:30,0.15,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca2,09:35,12:15,departure,0.85,0.65,12:30,12:35,0.1,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca2,09:35,12:15,departure,0.85,0.65,12:35,12:40,0.08,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca2,09:35,12:15,departure,0.85,0.65,12:40,12:45,0.07,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca3,13:00,15:40,arrival,0.75,0.65,12:30,12:35,0.05,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca3,13:00,15:40,arrival,0.75,0.65,12:35,12:40,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca3,13:00,15:40,arrival,0.75,0.65,12:40,12:45,0.2,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca3,13:00,15:40,arrival,0.75,0.65,12:45,12:50,0.3,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca3,13:00,15:40,arrival,0.75,0.65,12:50,12:55,0.25,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca3,13:00,15:40,arrival,0.75,0.65,12:55,13:00,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca3,13:00,15:40,departure,0.3,0.65,15:40,15:45,0.35,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca3,13:00,15:40,departure,0.3,0.65,15:45,15:50,0.25,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca3,13:00,15:40,departure,0.3,0.65,15:50,15:55,0.15,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca3,13:00,15:40,departure,0.3,0.65,15:55,16:00,0.1,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca3,13:00,15:40,departure,0.3,0.65,16:00,16:05,0.08,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca3,13:00,15:40,departure,0.3,0.65,16:05,16:10,0.07,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca4,15:50,18:30,arrival,0.45,0.65,15:20,15:25,0.05,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca4,15:50,18:30,arrival,0.45,0.65,15:25,15:30,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca4,15:50,18:30,arrival,0.45,0.65,15:30,15:35,0.2,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca4,15:50,18:30,arrival,0.45,0.65,15:35,15:40,0.3,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca4,15:50,18:30,arrival,0.45,0.65,15:40,15:45,0.25,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca4,15:50,18:30,arrival,0.45,0.65,15:45,15:50,0.1,"Ngay hoc binh thuong, SV den rai deu truoc gio hoc 30 phut"
Normal,ca4,15:50,18:30,departure,1.0,0.65,18:30,18:35,0.35,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca4,15:50,18:30,departure,1.0,0.65,18:35,18:40,0.25,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca4,15:50,18:30,departure,1.0,0.65,18:40,18:45,0.15,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca4,15:50,18:30,departure,1.0,0.65,18:45,18:50,0.1,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca4,15:50,18:30,departure,1.0,0.65,18:50,18:55,0.08,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Normal,ca4,15:50,18:30,departure,1.0,0.65,18:55,19:00,0.07,"Tan hoc binh thuong, mot so SV o lai trao doi/an vat truoc khi lay xe"
Peak,ca1,06:45,09:25,arrival,1.0,0.7,06:15,06:20,0.03,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca1,06:45,09:25,arrival,1.0,0.7,06:20,06:25,0.07,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca1,06:45,09:25,arrival,1.0,0.7,06:25,06:30,0.15,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
