schedule_id,class_id,version,scenario,day_of_week,day_vn,shift,start_time,end_time,building,floor,room_id,room_capacity,num_students,motorbike_ratio,dorm_ratio,primary_lot,motorbike_to_P1,motorbike_to_P2,motorbike_to_P3,distance_building_to_primary_lot_m,arrival_window_start,arrival_window_end,departure_window_start,departure_window_end,is_event
SCH00001,LHP0001,baseline,Peak,Mon,Thu 2,Ca3,13:00,15:40,D,5,D-0508,76,47,0.88,0.09,P2,0,41,1,180,12:30,13:00,15:40,16:10,N
SCH00002,LHP0001,baseline,Worst,Mon,Thu 2,Ca3,13:00,15:40,D,5,D-0508,76,47,0.88,0.09,P2,0,41,1,180,12:30,13:00,15:40,16:10,N
SCH00003,LHP0001,optimized,Peak,Mon,Thu 2,Ca1,06:45,09:25,D,1,D-0101,89,47,0.88,0.09,P2,0,40,2,180,06:15,06:45,09:25,09:55,N
SCH00004,LHP0001,optimized,Worst,Mon,Thu 2,Ca1,06:45,09:25,D,1,D-0101,89,47,0.88,0.09,P2,0,40,2,180,06:15,06:45,09:25,09:55,N
SCH00005,LHP0002,baseline,Normal,Tue,Thu 3,Ca3,13:00,15:40,B,4,D-0403,67,66,0.84,0.21,P1,54,0,2,100,12:30,13:00,15:40,16:10,N
SCH00006,LHP0002,baseline,Peak,Wed,Thu 4,Ca3,13:00,15:40,C,7,A2-0708,100,66,0.84,0.21,P2,0,54,2,120,12:30,13:00,15:40,16:10,N
SCH00007,LHP0002,optimized,Normal,Fri,Thu 6,Ca1,06:45,09:25,D,4,D-0403,67,66,0.84,0.21,P2,0,50,6,180,06:15,06:45,09:25,09:55,N
SCH00008,LHP0002,optimized,Normal,Thu,Thu 5,Ca2,09:35,12:15,D,1,D-0101,89,66,0.84,0.21,P2,0,50,6,180,09:05,09:35,12:15,12:45,N
SCH00009,LHP0003,baseline,Peak,Wed,Thu 4,Ca1,06:45,09:25,A2,5,A2-0511,109,36,0.77,0.14,P1,27,0,1,150,06:15,06:45,09:25,09:55,N
SCH00010,LHP0003,optimized,Normal,Tue,Thu 3,Ca3,13:00,15:40,C,1,C-0105,49,36,0.77,0.14,P2,0,26,2,120,12:30,13:00,15:40,16:10,N
SCH00011,LHP0004,baseline,Normal,Thu,Thu 5,Ca1,06:45,09:25,A2,10,A2-1010,87,76,0.76,0.18,P1,55,0,2,150,06:15,06:45,09:25,09:55,N
SCH00012,LHP0004,baseline,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,9,A2-0910,89,76,0.76,0.18,P1,55,0,2,150,06:15,06:45,09:25,09:55,N
SCH00013,LHP0004,baseline,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,9,A2-0910,89,76,0.76,0.18,P1,55,0,2,150,06:15,06:45,09:25,09:55,N
SCH00014,LHP0004,optimized,Normal,Sat,Thu 7,Ca1,06:45,09:25,C,1,A2-0114,81,76,0.76,0.18,P2,0,52,5,120,06:15,06:45,09:25,09:55,N
SCH00015,LHP0004,optimized,Peak,Wed,Thu 4,Ca2,09:35,12:15,A2,7,A2-0703,94,76,0.76,0.18,P1,52,0,5,150,09:05,09:35,12:15,12:45,N
SCH00016,LHP0005,baseline,Normal,Fri,Thu 6,Ca1,06:45,09:25,A2,8,A2-0804,109,55,0.9,0.21,P1,47,0,2,150,06:15,06:45,09:25,09:55,N
SCH00017,LHP0005,optimized,Normal,Sat,Thu 7,Ca2,09:35,12:15,D,2,D-0201,72,55,0.9,0.21,P2,0,44,5,180,09:05,09:35,12:15,12:45,N
SCH00018,LHP0006,baseline,Peak,Wed,Thu 4,Ca3,13:00,15:40,A2,10,A2-1007,96,42,0.86,0.08,P1,35,0,1,150,12:30,13:00,15:40,16:10,N
SCH00019,LHP0006,optimized,Peak,Wed,Thu 4,Ca4,15:50,18:30,C,2,C-0203,42,42,0.86,0.08,P2,0,34,2,120,15:20,15:50,18:30,19:00,N
SCH00020,LHP0007,baseline,Normal,Thu,Thu 5,Ca1,06:45,09:25,B,3,B-0307,59,45,0.92,0.07,P1,41,0,1,100,06:15,06:45,09:25,09:55,N
SCH00021,LHP0007,baseline,Normal,Sat,Thu 7,Ca3,13:00,15:40,C,3,C-0303,45,45,0.92,0.07,P2,0,41,1,120,12:30,13:00,15:40,16:10,N
SCH00022,LHP0007,optimized,Peak,Wed,Thu 4,Ca4,15:50,18:30,B,2,B-0204,49,45,0.92,0.07,P1,40,0,2,100,15:20,15:50,18:30,19:00,N
SCH00023,LHP0007,optimized,Normal,Fri,Thu 6,Ca3,13:00,15:40,A2,6,A2-0606,118,45,0.92,0.07,P1,40,0,2,150,12:30,13:00,15:40,16:10,N
SCH00024,LHP0008,baseline,Peak,Wed,Thu 4,Ca3,13:00,15:40,B,1,B-0106,48,36,0.76,0.25,P1,27,0,1,100,12:30,13:00,15:40,16:10,N
SCH00025,LHP0008,baseline,Normal,Thu,Thu 5,Ca2,09:35,12:15,C,3,C-0305,56,36,0.76,0.25,P2,0,27,1,120,09:05,09:35,12:15,12:45,N
SCH00026,LHP0008,optimized,Normal,Sat,Thu 7,Ca3,13:00,15:40,C,3,C-0303,45,36,0.76,0.25,P2,0,24,4,120,12:30,13:00,15:40,16:10,N
SCH00027,LHP0008,optimized,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,9,A2-0909,87,36,0.76,0.25,P1,24,0,4,150,06:15,06:45,09:25,09:55,N
SCH00028,LHP0008,optimized,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,9,A2-0909,87,36,0.76,0.25,P1,24,0,4,150,06:15,06:45,09:25,09:55,N
SCH00029,LHP0009,baseline,Normal,Fri,Thu 6,Ca4,15:50,18:30,C,8,A2-0810,114,78,0.92,0.08,P2,0,71,1,120,15:20,15:50,18:30,19:00,N
SCH00030,LHP0009,optimized,Normal,Tue,Thu 3,Ca1,06:45,09:25,C,4,A2-0414,116,78,0.92,0.08,P2,0,69,3,120,06:15,06:45,09:25,09:55,N
SCH00031,LHP0010,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,A2,3,A2-0307,93,55,0.93,0.08,P1,50,0,1,150,09:05,09:35,12:15,12:45,N
SCH00032,LHP0010,optimized,Normal,Thu,Thu 5,Ca2,09:35,12:15,A2,8,A2-0814,117,55,0.93,0.08,P1,49,0,2,150,09:05,09:35,12:15,12:45,N
SCH00033,LHP0011,baseline,Normal,Fri,Thu 6,Ca3,13:00,15:40,D,2,D-0206,88,46,0.94,0.21,P2,0,41,2,180,12:30,13:00,15:40,16:10,N
SCH00034,LHP0011,optimized,Peak,Wed,Thu 4,Ca2,09:35,12:15,C,1,C-0101,55,46,0.94,0.21,P2,0,39,4,120,09:05,09:35,12:15,12:45,N
SCH00035,LHP0012,baseline,Peak,Wed,Thu 4,Ca3,13:00,15:40,A2,7,A2-0703,94,72,0.89,0.08,P1,63,0,1,150,12:30,13:00,15:40,16:10,N
SCH00036,LHP0012,optimized,Peak,Mon,Thu 2,Ca2,09:35,12:15,B,6,A2-0605,84,72,0.89,0.08,P1,62,0,2,100,09:05,09:35,12:15,12:45,N
SCH00037,LHP0012,optimized,Worst,Mon,Thu 2,Ca2,09:35,12:15,B,6,A2-0605,84,72,0.89,0.08,P1,62,0,2,100,09:05,09:35,12:15,12:45,N
SCH00038,LHP0013,baseline,Normal,Fri,Thu 6,Ca3,13:00,15:40,B,8,A2-0808,95,67,0.9,0.06,P1,60,0,1,100,12:30,13:00,15:40,16:10,N
SCH00039,LHP0013,optimized,Normal,Tue,Thu 3,Ca2,09:35,12:15,B,10,A2-1006,113,67,0.9,0.06,P1,59,0,2,100,09:05,09:35,12:15,12:45,N
SCH00040,LHP0014,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,C,7,A2-0708,100,67,0.85,0.23,P2,0,54,3,120,09:05,09:35,12:15,12:45,N
SCH00041,LHP0014,optimized,Normal,Fri,Thu 6,Ca3,13:00,15:40,A2,3,A2-0304,101,67,0.85,0.23,P1,51,0,6,150,12:30,13:00,15:40,16:10,N
SCH00042,LHP0015,baseline,Normal,Thu,Thu 5,Ca1,06:45,09:25,A2,3,A2-0306,89,62,0.77,0.09,P1,46,0,1,150,06:15,06:45,09:25,09:55,N
SCH00043,LHP0015,optimized,Normal,Thu,Thu 5,Ca2,09:35,12:15,C,3,D-0301,63,62,0.77,0.09,P2,0,45,2,120,09:05,09:35,12:15,12:45,N
SCH00044,LHP0016,baseline,Normal,Sat,Thu 7,Ca3,13:00,15:40,A2,6,A2-0603,93,55,0.77,0.23,P1,41,0,2,150,12:30,13:00,15:40,16:10,N
SCH00045,LHP0016,optimized,Peak,Wed,Thu 4,Ca1,06:45,09:25,A2,10,A2-1001,84,55,0.77,0.23,P1,38,0,5,150,06:15,06:45,09:25,09:55,N
SCH00046,LHP0017,baseline,Peak,Mon,Thu 2,Ca3,13:00,15:40,B,2,B-0201,56,32,0.87,0.13,P1,27,0,1,100,12:30,13:00,15:40,16:10,N
SCH00047,LHP0017,baseline,Worst,Mon,Thu 2,Ca3,13:00,15:40,B,2,B-0201,56,32,0.87,0.13,P1,27,0,1,100,12:30,13:00,15:40,16:10,N
SCH00048,LHP0017,optimized,Normal,Fri,Thu 6,Ca1,06:45,09:25,C,1,C-0105,49,32,0.87,0.13,P2,0,26,2,120,06:15,06:45,09:25,09:55,N
SCH00049,LHP0018,baseline,Peak,Wed,Thu 4,Ca1,06:45,09:25,B,1,B-0102,53,50,0.94,0.09,P1,46,0,1,100,06:15,06:45,09:25,09:55,N
SCH00050,LHP0018,baseline,Normal,Tue,Thu 3,Ca2,09:35,12:15,A2,1,A2-0102,87,50,0.94,0.09,P1,46,0,1,150,09:05,09:35,12:15,12:45,N
SCH00051,LHP0018,optimized,Normal,Fri,Thu 6,Ca1,06:45,09:25,A2,3,A2-0301,80,50,0.94,0.09,P1,45,0,2,150,06:15,06:45,09:25,09:55,N
SCH00052,LHP0018,optimized,Peak,Mon,Thu 2,Ca2,09:35,12:15,C,1,C-0101,55,50,0.94,0.09,P2,0,45,2,120,09:05,09:35,12:15,12:45,N
SCH00053,LHP0018,optimized,Worst,Mon,Thu 2,Ca2,09:35,12:15,C,1,C-0101,55,50,0.94,0.09,P2,0,45,2,120,09:05,09:35,12:15,12:45,N
SCH00054,LHP0019,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,A2,2,A2-0207,115,46,0.83,0.18,P1,37,0,1,150,09:05,09:35,12:15,12:45,N
SCH00055,LHP0019,optimized,Normal,Thu,Thu 5,Ca2,09:35,12:15,D,2,D-0201,72,46,0.83,0.18,P2,0,34,4,180,09:05,09:35,12:15,12:45,N
SCH00056,LHP0020,baseline,Normal,Fri,Thu 6,Ca3,13:00,15:40,A2,4,A2-0405,114,78,0.94,0.05,P1,73,0,1,150,12:30,13:00,15:40,16:10,N
SCH00057,LHP0020,baseline,Peak,Wed,Thu 4,Ca4,15:50,18:30,A2,1,A2-0104,97,78,0.94,0.05,P1,73,0,1,150,15:20,15:50,18:30,19:00,N
SCH00058,LHP0020,optimized,Normal,Sat,Thu 7,Ca4,15:50,18:30,B,4,A2-0401,118,78,0.94,0.05,P1,72,0,2,100,15:20,15:50,18:30,19:00,N
SCH00059,LHP0020,optimized,Normal,Thu,Thu 5,Ca1,06:45,09:25,D,1,D-0101,89,78,0.94,0.05,P2,0,72,2,180,06:15,06:45,09:25,09:55,N
SCH00060,LHP0021,baseline,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,8,A2-0810,114,36,0.76,0.09,P1,27,0,0,150,06:15,06:45,09:25,09:55,N
SCH00061,LHP0021,baseline,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,8,A2-0810,114,36,0.76,0.09,P1,27,0,0,150,06:15,06:45,09:25,09:55,N
SCH00062,LHP0021,optimized,Peak,Wed,Thu 4,Ca4,15:50,18:30,B,3,B-0304,57,36,0.76,0.09,P1,26,0,1,100,15:20,15:50,18:30,19:00,N
SCH00063,LHP0022,baseline,Peak,Wed,Thu 4,Ca3,13:00,15:40,A2,10,A2-1003,104,34,0.93,0.12,P1,31,0,1,150,12:30,13:00,15:40,16:10,N
SCH00064,LHP0022,optimized,Peak,Wed,Thu 4,Ca2,09:35,12:15,C,1,C-0102,40,34,0.93,0.12,P2,0,30,2,120,09:05,09:35,12:15,12:45,N
SCH00065,LHP0023,baseline,Peak,Mon,Thu 2,Ca3,13:00,15:40,A2,6,A2-0601,103,75,0.81,0.25,P1,58,0,3,150,12:30,13:00,15:40,16:10,N
SCH00066,LHP0023,baseline,Worst,Mon,Thu 2,Ca3,13:00,15:40,A2,6,A2-0601,103,75,0.81,0.25,P1,58,0,3,150,12:30,13:00,15:40,16:10,N
SCH00067,LHP0023,baseline,Peak,Wed,Thu 4,Ca1,06:45,09:25,A2,10,A2-1001,84,75,0.81,0.25,P1,58,0,3,150,06:15,06:45,09:25,09:55,N
SCH00068,LHP0023,optimized,Normal,Tue,Thu 3,Ca2,09:35,12:15,D,4,D-0406,82,75,0.81,0.25,P2,0,53,8,180,09:05,09:35,12:15,12:45,N
SCH00069,LHP0023,optimized,Peak,Wed,Thu 4,Ca4,15:50,18:30,A2,5,A2-0508,86,75,0.81,0.25,P1,53,0,8,150,15:20,15:50,18:30,19:00,N
SCH00070,LHP0024,baseline,Peak,Mon,Thu 2,Ca4,15:50,18:30,A2,6,A2-0611,90,30,0.88,0.16,P1,25,0,1,150,15:20,15:50,18:30,19:00,N
SCH00071,LHP0024,baseline,Worst,Mon,Thu 2,Ca4,15:50,18:30,A2,6,A2-0611,90,30,0.88,0.16,P1,25,0,1,150,15:20,15:50,18:30,19:00,N
SCH00072,LHP0024,baseline,Peak,Wed,Thu 4,Ca3,13:00,15:40,A2,4,A2-0404,109,30,0.88,0.16,P1,25,0,1,150,12:30,13:00,15:40,16:10,N
SCH00073,LHP0024,optimized,Normal,Sat,Thu 7,Ca2,09:35,12:15,C,1,C-0101,55,30,0.88,0.16,P2,0,24,2,120,09:05,09:35,12:15,12:45,N
SCH00074,LHP0024,optimized,Peak,Wed,Thu 4,Ca1,06:45,09:25,B,1,B-0105,40,30,0.88,0.16,P1,24,0,2,100,06:15,06:45,09:25,09:55,N
SCH00075,LHP0025,baseline,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,2,A2-0214,97,38,0.8,0.23,P1,29,0,1,150,06:15,06:45,09:25,09:55,N
SCH00076,LHP0025,baseline,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,2,A2-0214,97,38,0.8,0.23,P1,29,0,1,150,06:15,06:45,09:25,09:55,N
SCH00077,LHP0025,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,A2,5,A2-0508,86,38,0.8,0.23,P1,29,0,1,150,09:05,09:35,12:15,12:45,N
SCH00078,LHP0025,optimized,Peak,Wed,Thu 4,Ca2,09:35,12:15,A2,1,A2-0104,97,38,0.8,0.23,P1,26,0,4,150,09:05,09:35,12:15,12:45,N
SCH00079,LHP0025,optimized,Normal,Tue,Thu 3,Ca1,06:45,09:25,A2,5,A2-0505,98,38,0.8,0.23,P1,26,0,4,150,06:15,06:45,09:25,09:55,N
SCH00080,LHP0026,baseline,Peak,Wed,Thu 4,Ca4,15:50,18:30,B,2,B-0201,56,47,0.81,0.09,P1,37,0,1,100,15:20,15:50,18:30,19:00,N
